"sample_id","estimate_tumor","quantiseq_cd8","epic_caf","epic_bcells","rectangle_aggregated_B_cells","rectangle_aggregated_CAFs","rectangle_aggregated_Tumor_cells","rectangle_aggregated_Dendritic_cells","rectangle_aggregated_Endothelial_cells","rectangle_aggregated_Macrophages","rectangle_aggregated_Monocytes","rectangle_aggregated_NK_cells","rectangle_aggregated_PVL","rectangle_aggregated_T_cells"
"06BR014",0.79062920041469,0.00133336929130633,0.152177297288626,0.00171552615184144,0.00287320933388858,0.0951509452696757,0.800540702939414,0,0.0223635164445917,0.0456994386581932,0.0263368533835449,1.13072871424574e-08,4.33890664232379e-08,0.00703527927433867
"21BR010",0.654970102687677,0,0.259152039725472,0.000593180661940981,0.000510249742958195,0.109696848621059,0.76838506160738,0,0.0523741302814429,0.0638506230575745,0.00334115461071137,0,0.00184192928971569,0
"05BR003",0.576223372837378,0.0205633043652359,0.315070021196648,0.00307098615684975,0.0545444198684585,0.222751292235131,0.489297897626286,0,0.106740576896431,0.0867723384485887,0,0,0,0.0389241861521063
"18BR016",0.677061789592552,0.00137331683651217,0.59999980630659,1.22256495995277e-05,0.000832231946234946,0.229322704679453,0.67552016059057,4.66661529807098e-09,0.0411790558290505,0.0531458327493001,0,0,0,4.83415273265346e-09
"20BR006",0.761916281986376,0.000581976887813124,0.0342913987973415,0.000917110184884279,0.00281394897807379,0.0329329212843255,0.853756004440254,0.00426605279259078,0.0531087904331628,0.042331322628429,0.000421802813178891,0,0.0002898777332156,0.00983424410728271
"01BR020",0.594850614293601,0.0128551549431492,0.137650180550672,0.0143711453256611,0.170169179884689,0.0558890092714499,0.597387306535586,0.0046796674387706,0.0207748487845128,0.0704568764936896,0.000352613519093174,3.33783327107586e-07,0,0.0718941762886453
"11BR031",0.54552932070272,0.0193841755437287,0.474275309150496,0.00800606696414882,0.0968049562138181,0.169925530646624,0.573690893612064,0,0.0290036872750434,0.076347487389196,2.74214099772019e-08,6.95264854744259e-08,3.95427353609846e-09,0.0512772766601529
"11BR027",0.68298069774814,0.00871606834714276,0.0490244106590339,0.00358142735806039,0.0408133881463601,0.0615395972990507,0.706648408921395,0,0.0372906045020612,0.129314062169352,0,2.16580571953749e-09,0.0100098719183048,0.0133291824034892
"11BR020",0.553059999579334,0.0245513767261041,0.234227118592952,0.022030487053183,0.144002652502256,0.143422262753581,0.493149132563606,0,0.0356122358808478,0.0655141914345942,0.00203475252055554,0.000406824503899378,0,0.115543841215085
"15BR003",0.546387478309221,0.017497164293908,0.230965929771897,0.0285017579907396,0.0904427388863825,0.154846727823714,0.596732026353011,0,0.0345676742994261,0.0629456743902194,0.000654383625657369,3.21928779168404e-07,1.15835129322754e-07,0.0591877552903569
"18BR003",0.61453990663875,0.0585722740475005,0.0829713831937737,0.02519349357534,0.0626982603780765,0.0447964490412334,0.634112614181035,2.69914073521314e-07,0.0259840537466743,0.0791628659770905,0.00126404607372061,1.77618071784939e-09,0.000190882592100714,0.151790003090045
"11BR010",0.576392541930685,0.0170522868590057,0.379371917029277,0.00368208336450044,0.0386521846912034,0.224115836342233,0.572025498562261,0,0.0263136164060302,0.0693055151179036,0,0,0.000741587147209203,0.0688456499038809
"11BR055",0.564418932903899,0.00719909985464824,0.514073221843004,2.18557469002733e-07,0.0103856286942956,0.288408878561594,0.541743602070316,0,0.0446578276021421,0.105358720403246,0,1.36220471785142e-09,0.000903276491121697,0.00795575253314025
"03BR004",0.697332936519351,0,0.256732601312885,0.00137228913980428,0.000106568435111464,0.186827461016914,0.739637606234131,0,0.0391301467492894,0.034298217564554,0,0,0,0
"11BR030",0.42793442848364,0.0883306786037199,0.153661628836109,0.037258416577896,0.217939080032495,0.0697678500022195,0.432781309586364,0,0.0150310693760495,0.0464833589154988,0.021112997388038,2.45630993973726e-07,1.36967248365709e-07,0.17697043059785
"05BR004",0.694494168588345,0.0107093185492964,0.208798647865384,5.08837676622166e-05,0.0196305171294956,0.15718501131683,0.695188917685087,1.42901453858266e-07,0.0535425696620803,0.0309298763736119,0,6.85386028226035e-10,1.78715205753601e-09,0.0433483676706087
"05BR009",0.485495196438128,0.00815503651900206,0.975306687537821,3.12972168020715e-07,0.0198322485760893,0.338272121531111,0.342293542451559,2.72823800049672e-05,0.146895852619352,0.078463292505392,0.000640523145626251,0,0.0392390259488266,0.0335667023619483
"03BR010",0.811768583913652,0.00383777355097172,0.0492962865482897,0.00653423150483597,0.017154638047571,0.0302555249859411,0.898175313854839,0,0.0180473437460918,0.0272504261537324,0,0,0,0.00911675321182487
"05BR038",0.66536658592581,0.00363585212609629,0.470524015617378,0.00343307526651132,0.0351175335211056,0.221176644767125,0.602468314245673,0,0.0442571190583004,0.0809418499298922,0,3.78638190822898e-09,8.45085689121225e-09,0.0150367127279627
"11BR038",0.489891683839507,0.00740304096239967,0.237152613762718,0.0618323061922062,0.219146011317982,0.0921862113437712,0.456906470635739,1.30972185160234e-07,0.0502147880279943,0.108027470530407,0.00108102296802727,2.91040341080686e-07,1.24644052559832e-07,0.0676653481061256
"03BR002",0.71664237621046,0.001346418396364,0.286458723230971,0.00143985055396351,0.015693156243262,0.157855793493843,0.748776585628513,0,0.0431141693121393,0.0339238845087763,0.000636369610185368,0,4.12032810491601e-08,0
"11BR054",0.862834192175313,0.0038496263153192,0.0290689343613703,0.00187945736343024,0,0.0121685170140444,0.667243968141503,0,0.0545887288101777,0.0172193163798675,0.0750346858454154,0,0.16327008573653,0.0104746980724624
